name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
serge-gnabry_2023/2024,15.0,33.19,39.0,2.0,4.0,5.0,53.3,157.0,426.0
janik-haberer_2023/2024,15.0,30.96,124.0,19.0,11.0,22.0,167.2,258.0,1080.0
nico-elvedi_2023/2024,15.0,34.18,272.0,103.0,2.0,13.0,275.7,343.0,1160.0
umut-tohumcu_2023/2024,15.0,33.08,97.0,3.0,3.0,11.0,130.4,202.0,884.0
matthijs-de-ligt_2023/2024,14.0,32.81,117.0,57.0,2.0,11.0,163.8,204.0,766.0
david-raum_2023/2024,14.0,34.95,251.0,27.0,141.0,27.0,343.4,887.0,2273.0
kristijan-jakic_2023/2024,14.0,31.92,133.0,27.0,5.0,21.0,162.8,256.0,988.0
cedric-zesiger_2023/2024,14.0,34.08,156.0,45.0,5.0,23.0,192.9,394.0,1133.0
lennard-maloney_2023/2024,14.0,33.15,230.0,86.0,3.0,47.0,323.7,593.0,2275.0
niklas-dorsch_2023/2024,14.0,32.85,133.0,17.0,2.0,18.0,173.9,231.0,845.0
pascal-stenzel_2023/2024,14.0,32.44,100.0,15.0,18.0,16.0,136.4,235.0,859.0
felix-passlack_2023/2024,14.0,32.84,78.0,12.0,31.0,14.0,116.1,341.0,955.0
lukas-daschner_2023/2024,14.0,32.83,64.0,6.0,9.0,3.0,75.0,147.0,540.0
mikkel-kaufmann_2023/2024,14.0,34.11,78.0,24.0,3.0,8.0,65.7,199.0,481.0
moritz-broni-kwarteng_2023/2024,14.0,32.5,32.0,2.0,4.0,5.0,36.7,120.0,299.0
gerrit-holtmann_2023/2024,14.0,33.75,49.0,9.0,9.0,8.0,47.4,127.0,332.0
alphonso-davies_2023/2024,13.0,36.41,254.0,18.0,20.0,15.0,251.7,792.0,1785.0
youssoufa-moukoko_2023/2024,13.0,33.42,49.0,5.0,2.0,7.0,81.4,230.0,625.0
aissa-laidouni_2023/2024,13.0,33.24,121.0,14.0,15.0,19.0,147.5,234.0,940.0
edmond-tapsoba_2023/2024,13.0,34.12,189.0,50.0,2.0,24.0,240.7,384.0,1263.0
aurelio-buta_2023/2024,13.0,34.68,199.0,30.0,37.0,23.0,213.8,537.0,1580.0
nikola-dovedan_2023/2024,13.0,31.29,82.0,6.0,4.0,10.0,93.2,234.0,651.0
jonas-fohrenbach_2023/2024,13.0,35.37,219.0,36.0,53.0,14.0,339.0,689.0,2041.0
aaron-seydel_2023/2024,13.0,32.17,108.0,51.0,1.0,8.0,78.8,129.0,495.0
noussair-mazraoui_2023/2024,12.0,33.46,155.0,22.0,11.0,9.0,141.0,268.0,731.0
denis-huseinbasic_2023/2024,12.0,33.59,141.0,9.0,11.0,25.0,213.5,353.0,1353.0
